,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ts_code,trade_date,total_share,float_share,free_share,total_mv,circ_mv,pe,pb
0,000155.SZ,20251022,10.56,10.61,10.44,10.45,10.6,-0.15,-1.4151,191193.0,200568.345,000155.SZ,20251022,184616.8342,184616.8342,111765.2937,1929245.9174,1929245.9174,26.5411,1.8778
1,000155.SZ,20251021,10.51,10.7,10.46,10.6,10.47,0.13,1.2416,300963.97,319896.969,000155.SZ,20251021,184616.8342,184616.8342,111765.2937,1956938.4425,1956938.4425,26.9221,1.9048
2,000155.SZ,20251020,10.47,10.56,10.4,10.47,10.37,0.1,0.9643,200964.63,210435.734,000155.SZ,20251020,184616.8342,184616.8342,111765.2937,1932938.2541,1932938.2541,26.5919,1.8814
3,000155.SZ,20251017,10.46,10.71,10.34,10.37,10.48,-0.11,-1.0496,280819.13,294771.404,000155.SZ,20251017,184616.8342,184616.8342,111765.2937,1914476.5707,1914476.5707,26.3379,1.8635
4,000155.SZ,20251016,10.58,10.59,10.44,10.48,10.58,-0.1,-0.9452,196361.08,205963.008,000155.SZ,20251016,184616.8342,184616.8342,111765.2937,1934784.4224,1934784.4224,26.6173,1.8832
5,000155.SZ,20251015,10.63,10.73,10.49,10.58,10.55,0.03,0.2844,230633.34,244309.271,000155.SZ,20251015,184616.8342,184616.8342,111765.2937,1953246.1058,1953246.1058,26.8713,1.9012
6,000155.SZ,20251014,10.7,10.8,10.5,10.55,10.55,0.0,0.0,310272.04,330346.04,000155.SZ,20251014,184616.8342,184616.8342,111765.2937,1947707.6008,1947707.6008,26.7951,1.8958
7,000155.SZ,20251013,10.36,10.73,10.34,10.72,10.71,0.01,0.0934,318269.85,335445.16,000155.SZ,20251013,184616.8342,184616.8342,111765.2937,1979092.4626,1979092.4626,27.2269,1.8692
8,000155.SZ,20251010,10.9,10.9,10.67,10.71,10.92,-0.21,-1.9231,333747.88,358888.895,000155.SZ,20251010,184616.8342,184616.8342,111765.2937,1977246.2943,1977246.2943,27.2015,1.8675
9,000155.SZ,20251009,10.59,10.95,10.56,10.92,10.49,0.43,4.0991,633905.57,688543.69,000155.SZ,20251009,184616.8342,184616.8342,111765.2937,2016015.8295,2016015.8295,27.7348,1.9041
10,000155.SZ,20250930,10.41,10.54,10.34,10.49,10.39,0.1,0.9625,248390.18,259918.228,000155.SZ,20250930,184616.8342,184616.8342,111765.2937,1936630.5908,1936630.5908,26.6427,1.8291
11,000155.SZ,20250929,10.25,10.43,10.22,10.39,10.19,0.2,1.9627,240297.43,248541.261,000155.SZ,20250929,184616.8342,184616.8342,111765.2937,1918168.9073,1918168.9073,26.3887,1.8117
12,000155.SZ,20250926,10.17,10.36,10.15,10.19,10.21,-0.02,-0.1959,175434.11,180177.238,000155.SZ,20250926,184616.8342,184616.8342,111765.2937,1881245.5405,1881245.5405,25.8808,1.7768
13,000155.SZ,20250925,10.25,10.48,10.2,10.21,10.29,-0.08,-0.7775,211233.0,217719.866,000155.SZ,20250925,184616.8342,184616.8342,111765.2937,1884937.8772,1884937.8772,25.9316,1.7803
14,000155.SZ,20250924,10.1,10.29,10.1,10.29,10.14,0.15,1.4793,162598.83,165775.789,000155.SZ,20250924,184616.8342,184616.8342,111765.2937,1899707.2239,1899707.2239,26.1347,1.7943
15,000155.SZ,20250923,10.23,10.25,10.01,10.14,10.23,-0.09,-0.8798,189805.96,191645.63,000155.SZ,20250923,184616.8342,184616.8342,111765.2937,1872014.6988,1872014.6988,25.7538,1.7681
16,000155.SZ,20250922,10.41,10.45,10.18,10.23,10.39,-0.16,-1.5399,202780.45,207633.928,000155.SZ,20250922,184616.8342,184616.8342,111765.2937,1888630.2139,1888630.2139,25.9824,1.7838
17,000155.SZ,20250919,10.35,10.54,10.32,10.39,10.33,0.06,0.5808,260688.56,271861.818,000155.SZ,20250919,184616.8342,184616.8342,111765.2937,1918168.9073,1918168.9073,26.3887,1.8117
18,000155.SZ,20250918,10.54,10.62,10.27,10.33,10.57,-0.24,-2.2706,353185.91,368886.374,000155.SZ,20250918,184616.8342,184616.8342,111765.2937,1907091.8973,1907091.8973,26.2363,1.8012
19,000155.SZ,20250917,10.48,10.57,10.41,10.57,10.47,0.1,0.9551,223380.5,234575.034,000155.SZ,20250917,184616.8342,184616.8342,111765.2937,1951399.9375,1951399.9375,26.8459,1.8431
20,000155.SZ,20250916,10.59,10.6,10.37,10.47,10.59,-0.12,-1.1331,260713.39,272468.936,000155.SZ,20250916,184616.8342,184616.8342,111765.2937,1932938.2541,1932938.2541,26.5919,1.8257
21,000155.SZ,20250915,10.67,10.85,10.57,10.59,10.65,-0.06,-0.5634,325400.41,346881.311,000155.SZ,20250915,184616.8342,184616.8342,111765.2937,1955092.2742,1955092.2742,26.8967,1.8466
22,000155.SZ,20250912,10.36,10.81,10.24,10.65,10.33,0.32,3.0978,667842.18,707729.856,000155.SZ,20250912,184616.8342,184616.8342,111765.2937,1966169.2842,1966169.2842,27.0491,1.857
23,000155.SZ,20250911,10.32,10.34,10.21,10.33,10.34,-0.01,-0.0967,212002.12,217772.8,000155.SZ,20250911,184616.8342,184616.8342,111765.2937,1907091.8973,1907091.8973,26.2363,1.8012
24,000155.SZ,20250910,10.4,10.45,10.26,10.34,10.49,-0.15,-1.4299,251865.07,260282.479,000155.SZ,20250910,184616.8342,184616.8342,111765.2937,1908938.0656,1908938.0656,26.2617,1.803
